	sex	residence	name	blood_group	birthdate	address	current_location	race	ssn
850	F	"USS Wood
FPO AP 34910"	Alexis Riley	B+	06 May 1986	"45729 Sara Island Suite 884
Josephhaven, AZ 01348"	(Decimal('-6.276577'), Decimal('-143.114991'))	Black	226-68-1546
851	M	"641 Robin Manor Apt. 632
Johnfort, IL 34373"	Thomas Thomas	B-	16 Apr 1911	"1953 Cardenas Street
Michaelside, NM 28399"	(Decimal('-88.1618075'), Decimal('5.592712'))	Black	532-64-5202
852	F	"33084 Laurie Ports Suite 420
Duffyhaven, NJ 54256"	Maria Clements	B-	12/26/2003, 00:00:00	"0084 Glenn Lodge Suite 642
Lake Staceyview, MS 51779"	(Decimal('89.4606115'), Decimal('43.540792'))	Black	733-55-9939
853	M	"578 Nicholas Valley Suite 412
West Nathaniel, NJ 47806"	Timothy Johnson	B-	1944-11-16	"3386 Rachel Mews
New Anna, MA 64154"	(Decimal('26.2559435'), Decimal('-118.727910'))	black	074-45-0221
854	F	"65444 Lopez Stream Suite 714
Caseyland, WY 91500"	Deanna Eaton	O-	2000-08-11	"98091 Ryan Hollow Suite 617
New Patrick, AK 59115"	(Decimal('-13.525028'), Decimal('-30.925088'))	White	146-51-7825
855	F	"702 Gilbert Lock Suite 451
Michaelfurt, CA 56624"	Amanda Clark	O-	01 May 2008	"4364 Gutierrez Road Apt. 465
East Erictown, OK 50055"	(Decimal('-0.093277'), Decimal('105.029246'))	White	066-02-8892
856	F	"966 Crystal Corners
Peckburgh, NH 51124"	Julia Hernandez	O-	1957-01-30	"2548 Angela Street Apt. 544
Port Lindsay, CT 36021"	(Decimal('52.273641'), Decimal('-156.241340'))	White	868-01-9598
857	M	"71808 William Crossroad
East Teresafort, MA 66769"	Dustin Murray	O+	12/25/1933, 00:00:00	"4167 Kendra Fords
New Roger, KS 77937"	(Decimal('-15.967206'), Decimal('-79.892079'))	White	507-26-7804
858	F	"6915 Mcdonald Port Suite 377
Whitneymouth, SD 04306"	Patricia Moss	A-	1922-07-19	"661 James Roads
Port Ernest, NJ 43294"	(Decimal('-28.270489'), Decimal('-99.262324'))	White	883-74-1769
859	F	"8639 Susan Mountain Apt. 102
East Aaronville, TX 10044"	Diane Jackson	A+	04 Mar 1977	"7791 Bowen Glen
West Charlotteside, PA 14310"	(Decimal('-22.6121055'), Decimal('-160.782302'))	Asian	805-31-2223
860	F	"93913 Gonzalez Roads Apt. 119
East Ericafort, NV 31738"	Mary Hall	A-	1945/06/11	"PSC 5351, Box 8013
APO AP 58494"	(Decimal('-40.494603'), Decimal('-25.737185'))	White	812-31-6808
861	F	"465 Hester Trail Apt. 794
Leonardfurt, MT 96845"	Katherine Cohen	A+	05/20/2010, 00:00:00	"270 Rebecca Via Suite 142
West Patrickborough, GA 04549"	(Decimal('75.973610'), Decimal('172.353062'))	Asian	093-13-6699
862	F	"26161 Catherine Wall
Port Davidhaven, MD 52034"	Lisa Mcgee	B-	1913-11-18	"0211 Anderson Light Apt. 583
Port Deniseberg, MO 16991"	(Decimal('-4.7801155'), Decimal('-79.585860'))	Hawaiian	006-62-3121
863	F	"4964 Melissa Inlet Suite 180
Lake Michelle, NH 09381"	Carolyn Ferguson	A-	2010/10/13	"457 Danielle Mills Apt. 297
Duranbury, OH 65917"	(Decimal('-12.5214245'), Decimal('162.120750'))	Asian	398-03-8949
864	F	"50796 Kim Stream
East Stephentown, WA 42667"	Ashley Brennan	O-	1966/05/14	"6035 Emily Lakes
Josephtown, WI 28489"	(Decimal('86.9471415'), Decimal('3.195371'))	Black	165-56-3364
865	F	"791 Knight Fall
Cherylborough, CT 34527"	Erin Mathis	O+	05/07/1920, 00:00:00	"280 Gross Common Apt. 087
Eugeneton, VA 84714"	(Decimal('-61.0549635'), Decimal('179.205218'))	White	306-12-9565
866	F	"9568 Christopher Ridges
Nathanmouth, IN 70941"	Chelsea Crawford	AB-	2020-07-21	"2520 Melissa Estates Suite 583
North Heatherbury, FL 00544"	(Decimal('26.8213705'), Decimal('-95.269588'))	Black	706-69-0806
867	F	"2694 Morgan Circles
North Benjamin, NV 98033"	Patricia White	A-	1928-06-01	"554 Ashley Trail
Frazierside, ID 73861"	(Decimal('-31.8021455'), Decimal('-105.398461'))	White	803-15-9980
868	M	"0778 Kelly Valleys Suite 241
West Amychester, NJ 43499"	Juan Hodge	B-	09 May 1918	"USNS Hensley
FPO AP 88720"	(Decimal('8.212792'), Decimal('-7.936178'))	White	899-61-4362
869	M	"7580 Marcus Viaduct
Williamville, WA 83057"	Walter Sullivan	O-	09/05/1974, 00:00:00	"PSC 2403, Box 4427
APO AP 00625"	(Decimal('79.038891'), Decimal('-150.535765'))	White	287-26-5357
870	F	"513 Heather Square
West Alisonburgh, OR 76424"	Lauren Barton	A+	1907-09-02	"2422 Kenneth Wall
Kimchester, IN 97471"	(Decimal('71.5625335'), Decimal('-173.235826'))	Asian	455-01-7915
871	M	"010 Knapp Trail Apt. 784
Thomasport, IN 92013"	James Richardson	A-	10/04/2019, 00:00:00	"504 Ashley Alley
Meadowsland, NC 66811"	(Decimal('84.3993425'), Decimal('34.234286'))	Asian	886-48-0306
872	F	"97214 Jennifer Way Apt. 543
Reedshire, ND 87295"	Heather Walker	A-	03 Aug 1921	"PSC 9838, Box 9877
APO AE 98014"	(Decimal('68.247657'), Decimal('120.153002'))	White	029-49-4739
873	F	"986 Ford Parkway
West Sandra, NH 36404"	Mallory Stephenson	AB+	31 Dec 1999	"58772 Amanda Groves
Marktown, NE 16828"	(Decimal('-56.837214'), Decimal('128.603677'))	Black	098-56-3198
874	F	"39021 Bradley Crossing Suite 149
West Rachelchester, CT 86544"	Monique Hunt	B-	1946-09-07	"06872 Mark Ville
Singletonland, VT 38757"	(Decimal('-42.7620925'), Decimal('62.511895'))	Black	042-55-6097
875	M	"786 Chapman Springs
Shaunberg, CO 13663"	Jesus Wyatt	O-	1930/09/22	"4418 Hester Knoll Apt. 657
Lake Bonnietown, ME 38878"	(Decimal('-33.1325935'), Decimal('25.117852'))	White	214-98-5309
876	M	"118 Blackwell Tunnel Suite 929
Port Josephmouth, OR 42957"	Devin Wilson	B-	2018-03-14	"984 Yolanda Oval Apt. 861
Daniellechester, OR 28803"	(Decimal('-87.2707565'), Decimal('-106.760703'))	Hawaiian	564-40-1621
877	M	"9177 Perez Ports
North Wesley, TN 59662"	Andrew Smith	B-	1931-07-15	"Unit 9861 Box 3711
DPO AA 99833"	(Decimal('11.9498515'), Decimal('61.836983'))	Black	579-20-8839
878	F	"8413 Danielle Loaf
Josehaven, MS 51313"	Kathryn Fernandez	B+	12/10/1977, 00:00:00	"24764 April Drive
Laurafort, WA 32049"	(Decimal('-74.1436585'), Decimal('44.053097'))	Asian	803-81-9547
879	M	"562 Young Drives Suite 328
Port Erinland, TN 08769"	Mark Mcintyre	B-	1976/04/10	"6078 Salinas Orchard Apt. 561
West Matthewborough, DE 12107"	(Decimal('39.599610'), Decimal('-165.870186'))	Black	655-55-2654
880	M	"349 Michael Inlet
East Scott, WA 67006"	Christopher Williams	A-	03/28/1946, 00:00:00	"457 Benton Branch
Lake Danielfurt, WV 17823"	(Decimal('66.7274005'), Decimal('-12.185630'))	Asian	582-35-9315
881	M	"54207 Pamela Extensions Apt. 070
Port Norma, RI 54867"	Shane Larson	O+	11/30/1943, 00:00:00	"5605 Fitzpatrick Stream Apt. 638
Evansstad, SC 77278"	(Decimal('13.1215375'), Decimal('86.174906'))	White	735-55-1967
882	M	"80007 Ochoa Harbors
East Elizabeth, SC 44633"	David Fuentes	B+	10/07/2010, 00:00:00	"802 Lopez Loaf Suite 880
Kingberg, ID 54216"	(Decimal('9.650599'), Decimal('-18.978096'))	White	714-76-1528
883	M	"46019 Rick Glens
Lake Kyle, NH 12097"	Javier Mitchell	A-	03 Dec 1974	"83761 Harris Club Apt. 098
Jeffreychester, PA 96949"	(Decimal('-63.8726485'), Decimal('17.106261'))	White	554-08-5865
884	M	"41791 Small Road Suite 606
Cortezbury, GA 37490"	Jeremy Jones	O+	1909-12-23	"282 Corey Forest
Robertstad, PA 31883"	(Decimal('-12.111563'), Decimal('172.843414'))	Black	893-51-2056
885	F	"084 Odonnell Brook
South Kelly, TX 68032"	Latasha Good	A-	1907-09-07	"5761 April Points Apt. 551
North Timothyfort, OK 11280"	(Decimal('-74.8567155'), Decimal('132.469974'))	Black	547-77-7664
886	M	"1663 Ortiz Vista
New Meganhaven, OK 28687"	William Vargas	O+	19 Dec 1975	"83947 Lee Junction Suite 370
Gutierrezland, ID 41484"	(Decimal('9.2584525'), Decimal('49.054145'))	Indian	641-59-1930
887	M	"49009 Richard Alley Suite 739
West Michael, KS 16624"	Shawn Spears DDS	B+	1974/01/04	"24940 Joseph Cliffs
Jacksonburgh, WV 51901"	(Decimal('57.3731655'), Decimal('-81.183713'))	White	555-72-4927
888	M	"4210 Brown Forest
Scottmouth, TX 02923"	Dr. John Gray	B-	12/04/1979, 00:00:00	"89677 Garcia Road Suite 430
Alexandrahaven, MI 45830"	(Decimal('13.064667'), Decimal('-116.223735'))	Asian	205-14-7423
889	M	"74980 Pamela Mission
North Kimberly, WV 97771"	Joseph Buckley	O-	01/28/1920, 00:00:00	"08298 Larry Spring Suite 070
Martinezland, TN 67786"	(Decimal('34.7993615'), Decimal('68.078104'))	Black	157-05-7857
890	M	"PSC 9829, Box 7462
APO AP 43841"	Bryan Brown	AB+	1922/10/08	"066 Amy Brook Apt. 445
South Kathleen, VA 03131"	(Decimal('-84.7185995'), Decimal('-144.599189'))	Black	318-98-0552
891	M	"Unit 6511 Box 8043
DPO AA 47615"	Joseph Nichols	O-	28 Jan 1938	"4930 Garcia Crossroad
Bernardport, MI 20643"	(Decimal('-55.900252'), Decimal('-60.008286'))	White	558-27-2938
892	M	"31600 Aguirre Station Suite 644
Jonathanview, IL 84075"	James Brown	A+	12 Aug 2011	"54596 Odom Drive Suite 985
West Nicoleport, PA 67522"	(Decimal('-78.1843635'), Decimal('150.975974'))	Hawaiian	719-50-2345
893	M	"USNV Morton
FPO AP 49680"	Kyle Bond	A+	06 Jul 1993	"10298 Johnson Crescent
Harrisfort, RI 73126"	(Decimal('-21.1268975'), Decimal('-72.983049'))	black	458-81-0781
894	F	"957 Turner Springs
Brendaview, NM 39440"	Bethany Johnson	B-	1913-05-27	"4412 Kramer Island
West Jessicaport, WI 17343"	(Decimal('-83.6729715'), Decimal('36.107297'))	White	627-05-7658
895	F	"32130 Adam Lakes Suite 001
Jodyland, WV 11390"	Erica Ferguson	O+	04 Oct 1956	"90341 Ashley Cove Suite 532
Saraborough, LA 86990"	(Decimal('24.952103'), Decimal('-178.715756'))	White	808-82-7321
896	M	"4790 Smith Highway Suite 965
Larsonmouth, FL 13975"	Justin Miranda	AB-	03/30/1909, 00:00:00	"5523 Roberts Road Apt. 588
Brownview, LA 84436"	(Decimal('-48.528357'), Decimal('-112.049151'))	White	645-65-3004
897	F	"8805 Manuel Pines Apt. 050
Port Davidmouth, MO 71135"	Debbie Maynard	B+	1975/09/24	"95368 Cruz Mews Suite 338
Lake Michael, RI 06675"	(Decimal('75.433930'), Decimal('-27.445827'))	White	053-42-0042
898	M	"USS Walter
FPO AA 05186"	Michael Manning	AB-	08/22/1922, 00:00:00	"3560 Lee Squares
East Kathleen, OK 14593"	(Decimal('50.8842805'), Decimal('88.101578'))	White	313-04-7080
899	F	"3479 Larry Parkway Suite 806
Belindaberg, MO 98773"	Maria Foster	AB+	1952/03/18	"02020 Jamie Shoals Suite 516
West Sarah, NE 34478"	(Decimal('42.9560555'), Decimal('-136.760693'))	White	223-23-4623
900	M	"USNS Hill
FPO AP 62388"	Ronnie Williams	B-	08/09/1987, 00:00:00	"98360 Ibarra Walks Apt. 436
Alvaradoview, NJ 86473"	(Decimal('-50.8599535'), Decimal('105.572424'))	White	098-93-2939
901	M	"PSC 6822, Box 1582
APO AA 69381"	Brian Lewis	AB+	1958/11/04	"038 Melissa Unions
Isabellaberg, FL 52219"	(Decimal('22.541818'), Decimal('12.374934'))	Indian	524-03-0176
902	F	"32676 David Roads Suite 506
Hallmouth, UT 20308"	Haley Brown	O+	1991/11/10	"7591 Clark Road Suite 835
North Brittanyberg, ME 43463"	(Decimal('-66.752616'), Decimal('-0.587396'))	Black	151-91-1181
903	M	"0620 Ortiz Haven
West Joseph, AK 54753"	Bobby Deleon	O+	01/03/1974, 00:00:00	"3207 Ryan Lane Suite 908
Lambertton, SC 63321"	(Decimal('70.0982585'), Decimal('-163.429934'))	White	692-39-9187
904	F	"58995 Barnes Walk
Gomezfort, VT 72197"	Susan Flores	O+	1974/08/24	"USNS Bell
FPO AP 50330"	(Decimal('-40.8861525'), Decimal('-51.101200'))	Black	079-86-5375
905	M	"2997 Giles Overpass Apt. 907
Perrymouth, IL 67503"	William Beck	O-	12/09/1951, 00:00:00	"3744 Johnson Ranch
Tylerside, NM 35818"	(Decimal('-44.8115075'), Decimal('-175.926632'))	White	609-57-9734
906	F	"537 Raymond Curve
East Timothy, ME 20455"	Bailey Miller	O+	04/04/1970, 00:00:00	"0839 Lang Islands Suite 992
Robertfurt, UT 63122"	(Decimal('27.2219155'), Decimal('-21.518840'))	White	310-96-9887
907	F	"663 Harper Corners Apt. 972
West Miguel, AK 01392"	Terry Morales	A-	02 Nov 1940	"92411 Wright Court
Justinfort, AR 16926"	(Decimal('-36.861373'), Decimal('-4.561644'))	Asian	887-85-8882
908	F	"6772 Kathleen Ridges Apt. 069
West Thomas, NV 36847"	Elizabeth Lewis	B+	1990/07/19	"683 Wells Corners
Lindatown, IN 29418"	(Decimal('17.6916985'), Decimal('71.216530'))	black	485-17-3553
909	F	"53872 Jeremy Groves Suite 219
Deckershire, OK 36749"	Paula Ward	A-	11/22/1981, 00:00:00	"830 Brooke Plain
Wrighthaven, KS 66360"	(Decimal('-59.945320'), Decimal('-82.699408'))	White	359-21-4354
910	M	"98568 Kaylee Road
North Crystal, CO 94309"	Robert Hood	B+	1936-05-01	"55629 Anthony Light Apt. 179
Ashleyview, AR 21936"	(Decimal('63.078322'), Decimal('164.098615'))	Black	482-54-8696
911	M	"5742 Alvarez Summit Apt. 140
Thompsonburgh, WA 70466"	Maurice Powell	B-	2002/11/22	"6765 Katherine Road Apt. 192
East Feliciaside, DC 37057"	(Decimal('-44.044479'), Decimal('-34.755171'))	Black	566-64-4946
912	F	"169 Christensen Burg
Moorebury, SD 54192"	Karen Hernandez	B+	1917-08-21	"03576 Mike Pike
Salazarmouth, TX 69860"	(Decimal('36.739041'), Decimal('107.681616'))	Black	717-37-1048
913	M	"227 Taylor Flats Suite 240
Nicolemouth, AL 77979"	Gordon Thompson	A-	12/04/1929, 00:00:00	"14777 Newton Motorway Apt. 935
Lake Davidmouth, ND 20653"	(Decimal('-22.579551'), Decimal('-142.000297'))	Black	291-92-9531
914	F	"50037 Chris Motorway
Bakerton, CA 68031"	Elizabeth Lester	O-	2005-05-04	"01106 Dylan Forge
West Michael, NJ 40649"	(Decimal('10.4316355'), Decimal('-72.793016'))	White	148-72-8923
915	M	"USCGC Lopez
FPO AP 72142"	Ryan Bowman	AB+	2014/12/23	"9015 Christopher Squares
East Jasonport, DE 16576"	(Decimal('78.0258865'), Decimal('-118.713083'))	Black	525-03-3422
916	M	"43465 Erik Rapids
South Christopher, AR 27423"	Joel Murphy	B+	1943-05-26	"PSC 8054, Box 9098
APO AP 77516"	(Decimal('-61.9442545'), Decimal('83.567153'))	Asian	466-05-8751
917	M	"75604 Shannon Circle Apt. 096
Joannport, NV 40986"	Douglas Silva	B+	1931/01/19	"26651 Allen Ports Apt. 482
Pearsonfort, MI 76166"	(Decimal('24.856044'), Decimal('155.219279'))	black	570-65-5025
918	M	"0662 Michael Rapid Apt. 358
Kellyhaven, VA 88005"	Steve Adams	B-	29 Apr 1976	"PSC 0888, Box 5482
APO AP 82346"	(Decimal('12.636183'), Decimal('119.053304'))	Black	014-06-5568
919	F	"23352 Williams Gardens Suite 256
Dunnside, UT 91344"	Melanie Lutz	AB+	1976/07/14	"32936 Lawrence Motorway
East Jenniferland, IA 06768"	(Decimal('32.6128025'), Decimal('159.242472'))	Asian	438-28-6953
920	F	"4973 Flowers Mill Suite 528
Lake Elizabeth, FL 28543"	Monica Martinez	O+	1942/04/23	"0746 Sanders Grove
North Erinhaven, LA 96753"	(Decimal('-2.163146'), Decimal('2.558564'))	Hawaiian	482-22-2763
921	M	"79749 Rodriguez Spring Suite 466
North Jake, DC 54743"	Jesus Golden	A-	1909/11/10	"56283 Steven Branch
New Sandra, OH 23197"	(Decimal('76.488470'), Decimal('-80.371422'))	White	721-47-2757
922	F	"5010 Sullivan Place
New Staceyville, MO 17224"	Brittany Rogers	O+	1941-07-06	"2655 Matthew Cliffs Suite 394
Louisville, DE 62703"	(Decimal('-10.4834235'), Decimal('153.815217'))	White	079-50-9072
923	F	"755 Spence Prairie
Port Martinchester, HI 75225"	Jessica Daniels	O-	06/10/2013, 00:00:00	"4514 Sanchez Track
Kimshire, MN 87217"	(Decimal('-87.306096'), Decimal('-12.207218'))	White	301-70-7316
924	M	"6992 Kim Point Suite 591
East Caroline, IA 82460"	Matthew Moore	O-	1927-09-05	"40511 Joshua Park Suite 605
Whitemouth, MI 19730"	(Decimal('34.9985335'), Decimal('-163.905664'))	Black	839-95-0261
925	M	"2056 Martin Loaf
Jenniferfurt, MD 39017"	Todd Cantrell	B+	09/17/1963, 00:00:00	"14753 Estrada Ramp
North Zachary, KS 04536"	(Decimal('63.929552'), Decimal('139.753574'))	Black	282-23-1715
926	F	"93898 Harrison Canyon
Hurleyborough, WY 65273"	Jennifer Mack	O-	1999-09-16	"263 Zavala Hollow Suite 694
Lake Matthewport, OR 64027"	(Decimal('-4.606333'), Decimal('94.964883'))	White	622-60-5610
927	M	"3049 Jane Skyway
East Lynn, CT 37137"	Mr. Larry Torres MD	A+	1957/11/26	"6183 Lambert Canyon
Alexandertown, ID 28680"	(Decimal('73.282734'), Decimal('39.950964'))	Black	314-90-9938
928	M	"3048 Richard Fork Suite 801
Wesleyfort, HI 69476"	Kenneth Washington PhD	B-	01/28/1971, 00:00:00	"2994 Castillo Via
Debrashire, HI 75403"	(Decimal('44.0045265'), Decimal('-49.248993'))	White	896-77-8854
929	F	"571 Gregory Knolls Apt. 952
North Bruce, TX 25887"	Victoria Kelley	O-	03 Jan 1912	"26812 Scott Mission
Melissaview, NC 40424"	(Decimal('-41.6713015'), Decimal('-55.223008'))	White	717-24-7519
930	M	"89914 Edwards Lights Apt. 293
Williamshaven, NV 62243"	Jordan Park	A+	07/16/2006, 00:00:00	"3311 Shawna Spur Apt. 699
East Jennifer, OK 28422"	(Decimal('71.941029'), Decimal('119.097435'))	Black	145-90-7462
931	M	"543 Holly Knoll
Lake Kellyville, FL 14265"	Gregory Friedman	A+	1983-05-04	"55088 Jacob Manor
Dwayneland, ND 08530"	(Decimal('-78.175239'), Decimal('39.818973'))	Asian	661-63-0647
932	F	"041 Sharon Prairie Suite 098
South Michael, MA 98336"	Kristy Kelley	AB+	1993/06/02	"651 Chase Ways Suite 278
Douglasmouth, KS 46015"	(Decimal('5.394156'), Decimal('27.572167'))	Black	466-18-0799
933	F	"6784 Knight Flats Apt. 630
Stephenfort, ME 69192"	Paula Faulkner	B-	08/27/1923, 00:00:00	"106 Martinez Cove
Donaldport, IL 33571"	(Decimal('-86.936331'), Decimal('-112.546439'))	White	111-08-5367
934	F	"846 Brown Rest
Kimberlytown, VT 93966"	Nancy Thompson	AB+	1934/11/15	"07973 Tina Causeway Suite 137
Thomasport, MI 15381"	(Decimal('38.6577055'), Decimal('-127.507275'))	White	553-08-9660
935	F	"Unit 8713 Box 7489
DPO AE 69566"	Shari Dixon	AB+	22 Sep 1935	"8170 Lopez Ports
West Alejandra, NM 72127"	(Decimal('-42.7740765'), Decimal('151.310771'))	Black	728-57-3388
936	F	"787 Gilmore Parkways
New Zachary, NC 59211"	Ms. Heather Higgins DDS	B+	27 Nov 1936	"PSC 5950, Box 7320
APO AE 50509"	(Decimal('13.8259315'), Decimal('55.529152'))	White	027-66-2295
937	F	"29829 Amy Lodge Apt. 964
West Justinmouth, OK 75230"	Emily Park	AB-	1923-08-25	"823 Latoya Forges Suite 514
Garciaburgh, MA 34358"	(Decimal('-88.4410675'), Decimal('89.048817'))	Asian	022-97-8745
938	M	"664 Johnson Road Apt. 008
South Johnhaven, NV 57232"	Andrew Nicholson	A-	07/10/1916, 00:00:00	"7625 Martin Fall
South Paigeburgh, PA 73943"	(Decimal('-32.2995355'), Decimal('-30.122879'))	Black	517-69-4976
939	F	"38376 Taylor Mission
Stacyfort, DC 35630"	Donna Williams	O-	09/29/1927, 00:00:00	"66146 Steven Fall
Gonzalezview, VT 83618"	(Decimal('-79.420645'), Decimal('66.717478'))	Asian	089-52-9653
940	M	"7913 Rivera Neck
Elizabethside, CA 15579"	David Salas	A-	01/23/1917, 00:00:00	"926 Bryan Roads
East Courtneyburgh, KS 58853"	(Decimal('-80.9992475'), Decimal('29.005683'))	White	843-76-5677
941	F	"3166 Anderson Mountain Apt. 558
Port Christinaland, FL 81088"	Jessica Fuller	A+	1963/04/15	"USS Bowen
FPO AA 23542"	(Decimal('-57.451405'), Decimal('21.526693'))	White	022-89-2095
942	F	"6663 Knight Locks Suite 467
Jonathanhaven, NJ 29911"	Ruth Brennan	AB+	02/03/1938, 00:00:00	"969 Brown Ways Apt. 611
Vincentland, MO 73228"	(Decimal('-33.030547'), Decimal('-143.786681'))	White	369-60-8309
943	F	"17208 Larson Canyon Suite 124
Port Joshuashire, TN 18535"	Terri Reyes	O-	1921/10/16	"2868 Robbins Ranch
Cortezmouth, NC 01424"	(Decimal('79.7571135'), Decimal('-29.419557'))	White	361-20-7510
944	M	"5587 Adams Ports
Nguyenfurt, AK 84379"	Mr. Juan Moore Jr.	AB+	1965/06/08	"28889 Michael Prairie
Martinshire, IA 92972"	(Decimal('71.0367575'), Decimal('21.910765'))	Asian	375-24-7275
945	M	"628 David Valleys
Smithshire, MA 04455"	Michael Scott	B-	1957/02/24	"355 Seth Causeway
Williamsshire, VA 81580"	(Decimal('-63.6704975'), Decimal('-17.143435'))	black	876-95-3755
946	F	"PSC 2249, Box 7817
APO AA 82048"	Amber Phillips	AB-	25 Nov 1976	"65575 Thomas Forge Suite 179
Peggyville, NV 43106"	(Decimal('-6.764362'), Decimal('109.583816'))	White	262-56-3114
947	F	"37582 Patton Coves
Port Brandon, ME 00956"	Janet Hays	B+	10 Jul 1962	"74461 George Cape Suite 052
Vegaview, TN 46327"	(Decimal('17.3553665'), Decimal('40.872013'))	Black	272-22-9235
948	F	"4846 Jensen Valley
Port Amandatown, LA 43372"	Judy Dunn	B-	1987/05/02	"12716 Rogers Mountain Suite 570
Lake Michaelview, NH 68027"	(Decimal('14.6378435'), Decimal('-84.690591'))	Black	551-02-5410
949	F	"73236 Campbell Course
Alexaport, DC 01949"	Monica Fernandez	O-	02/11/1995, 00:00:00	"976 Kim Route Apt. 545
Lake Heidibury, MT 96049"	(Decimal('35.213654'), Decimal('-134.396282'))	White	146-58-5668
950	F	"474 Courtney Island Suite 637
New Kristaton, HI 73011"	Shelly Mcmillan	AB-	02/17/1930, 00:00:00	"312 Clark Ridge Apt. 456
Reedshire, AL 50280"	(Decimal('-47.4329885'), Decimal('9.664335'))	White	887-35-9220
951	M	"825 Miller Drives
South Maryport, KS 96024"	John Anderson	O-	17 Jul 1948	"054 Hill Plains Suite 635
Lake William, VT 75051"	(Decimal('-49.889299'), Decimal('-7.320599'))	White	450-28-1253
952	F	"60782 Nelson Mountain
Youngburgh, MS 89999"	Michelle Davis PhD	B+	2009-04-20	"PSC 7498, Box 1827
APO AE 12929"	(Decimal('86.0680505'), Decimal('90.195905'))	White	100-35-7162
953	M	"223 Martinez Spurs Apt. 598
Heatherfort, MA 40977"	Christopher Collier	A+	1958/06/13	"USNV Allen
FPO AA 77933"	(Decimal('-46.7951055'), Decimal('-36.673471'))	White	822-45-6165
954	M	"9237 Thomas Green Suite 030
Kristinshire, NM 52958"	James Gonzalez	A+	1929/10/18	"4566 Chris Turnpike Suite 916
East Patrick, DC 59560"	(Decimal('-49.3663185'), Decimal('151.415608'))	Black	048-45-1165
955	M	"9708 Schultz Springs Suite 331
Colefort, OK 78792"	Matthew Mendoza	O-	16 Oct 1984	"60095 Rojas Mountain
West Jenny, IN 90284"	(Decimal('-88.7300125'), Decimal('60.780925'))	Black	536-66-7699
956	F	"7235 Kayla Square Suite 518
New Matthewport, TN 09086"	Kimberly Davis MD	B-	08 Nov 1993	"4956 Ryan Pass Suite 370
Michaelport, MS 66956"	(Decimal('-83.1766395'), Decimal('-179.566280'))	White	196-95-3037
957	F	"12482 Krista Crossing Suite 181
East Wandaport, NH 88199"	Lori Stewart	O-	1944/10/01	"720 Michelle Branch Apt. 378
Petermouth, KY 79137"	(Decimal('34.5219255'), Decimal('-115.710729'))	Black	005-83-2933
958	M	"81430 Cody Shoals
East Rodneystad, VT 22095"	Jack Barber	A+	2000/10/15	"7567 Dakota Ports
West Leahview, CT 15599"	(Decimal('63.1414205'), Decimal('38.435720'))	White	758-50-8390
959	M	"Unit 5613 Box 0411
DPO AE 53214"	Daniel Martinez	A-	06/23/1975, 00:00:00	"912 Page Vista Suite 656
East Natasha, WV 96872"	(Decimal('2.615217'), Decimal('75.531999'))	Black	879-06-5802
960	F	"PSC 4870, Box 8347
APO AA 13560"	Stephanie Robertson	B+	2020-02-17	"2990 Perez Prairie
Browntown, DE 55102"	(Decimal('-43.1720615'), Decimal('144.354821'))	Black	744-34-2951
961	F	"61823 Harris Falls Apt. 940
North Ashley, KS 99509"	Jennifer Ramsey	A+	17 Feb 2009	"1545 Traci Trafficway Apt. 619
New Mary, MT 14573"	(Decimal('9.353326'), Decimal('-108.475082'))	Black	094-72-1255
962	M	"PSC 1260, Box 5795
APO AE 55824"	Jonathan Thomas	AB+	28 Sep 2017	"729 Hicks Plain Apt. 764
West Sarahborough, IL 72733"	(Decimal('80.6438645'), Decimal('-125.416698'))	Black	512-24-5778
963	M	"9053 Karen Curve
Shirleybury, DC 96454"	Nathaniel Lopez	A+	1915/01/07	"71101 Anthony Lake Suite 153
Jacksonborough, NV 30355"	(Decimal('31.084585'), Decimal('30.599726'))	Indian	073-50-2265
964	F	"5518 Kimberly Springs
Lake Davidmouth, NV 30889"	Crystal Dougherty	AB-	03/21/1986, 00:00:00	"508 Bowers Cliff
Clarkville, NM 19030"	(Decimal('-45.825016'), Decimal('49.608060'))	White	026-15-1529
965	M	"908 Patton Circle
Gardnershire, MT 11404"	Kenneth Fernandez	A+	1949/04/02	"510 Pittman Mission Suite 166
South Marissa, OK 20138"	(Decimal('-7.8783995'), Decimal('-58.033192'))	Black	099-35-0830
966	M	"83115 Phillips Mountain
Michaelshire, ND 30015"	Adam Graham	O+	08 Dec 1952	"4833 Michelle Islands
Williamsmouth, GA 72462"	(Decimal('19.409767'), Decimal('114.957010'))	White	227-82-5789
967	F	"Unit 8295 Box 5912
DPO AP 58980"	Kimberly Castro	B+	1981-04-22	"Unit 8901 Box 1752
DPO AP 20973"	(Decimal('64.4947435'), Decimal('10.442410'))	Black	803-29-7108
968	F	"847 Spencer Summit
South Shelleymouth, MT 20402"	Danielle Stevens	O+	1961/01/01	"3908 Monique Drives
Aliciaburgh, AR 79800"	(Decimal('39.7121175'), Decimal('-102.976202'))	White	513-12-7663
969	F	"4298 Anderson Ridge
Jennaport, MI 10718"	Nancy Guerra	AB-	1997-11-09	"8315 Kyle Parkways Apt. 352
North Danielle, AZ 85570"	(Decimal('15.0416965'), Decimal('-13.984109'))	Black	122-42-0760
